name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
What Lies Beneath,PG-13,Drama,2000,"July 21, 2000 (United States)",6.6,120000,ROBERT ZEMECKIS,Clark Gregg,Harrison Ford,UNITED STATES,100000000,291420351.0,Dreamworks Pictures,"130.0,"
The Emperor's New Groove,G,Animation,2000,"December 15, 2000 (United States)",7.4,187000,MARK DINDAL,Chris Williams,David Spade,UNITED STATES,100000000,169661687.0,Walt Disney Animation Studios,"78.0,"
"Crouching Tiger, Hidden Dragon",PG-13,Action,2000,"January 12, 2001 (United States)",7.8,258000,ANG LEE,Hui-Ling Wang,Chow Yun-Fat,TAIWAN,17000000,213525736.0,Asia Union Film & Entertainment Ltd.,"120.0,"
Gone in 60 Seconds,PG-13,Action,2000,"June 9, 2000 (United States)",6.5,265000,DOMINIC SENA,H.B. Halicki,Nicolas Cage,UNITED STATES,90000000,237202299.0,Touchstone Pictures,"118.0,"
"Dude, Where's My Car?",PG-13,Comedy,2000,"December 15, 2000 (United States)",5.5,136000,DANNY LEINER,Philip Stark,Ashton Kutcher,UNITED STATES,13000000,73180723.0,Twentieth Century Fox,"83.0,"
Meet the Parents,PG-13,Comedy,2000,"October 6, 2000 (United States)",7.0,317000,JAY ROACH,Greg Glienna,Ben Stiller,UNITED STATES,55000000,330444045.0,Universal Pictures,"108.0,"
Pitch Black,R,Action,2000,"February 18, 2000 (United States)",7.1,229000,DAVID TWOHY,Jim Wheat,Radha Mitchell,UNITED STATES,23000000,53187659.0,Polygram Filmed Entertainment,"109.0,"
Hollow Man,R,Action,2000,"August 4, 2000 (United States)",5.8,126000,PAUL VERHOEVEN,Gary Scott Thompson,Kevin Bacon,UNITED STATES,95000000,190213455.0,Columbia Pictures,"112.0,"
Ginger Snaps,Not Rated,Drama,2000,"May 11, 2001 (Canada)",6.8,43000,JOHN FAWCETT,Karen Walton,Emily Perkins,CANADA,5000000,2554.0,Copperheart Entertainment,"108.0,"
Miss Congeniality,PG-13,Action,2000,"December 22, 2000 (United States)",6.3,194000,DONALD PETRIE,Marc Lawrence,Sandra Bullock,UNITED STATES,45000000,212742720.0,Castle Rock Entertainment,"109.0,"
High Fidelity,R,Comedy,2000,"March 31, 2000 (United States)",7.5,172000,STEPHEN FREARS,Nick Hornby,John Cusack,UNITED KINGDOM,30000000,47126295.0,Touchstone Pictures,"113.0,"
Battlefield Earth,PG-13,Action,2000,"May 12, 2000 (United States)",2.5,77000,ROGER CHRISTIAN,Corey Mandell,John Travolta,UNITED STATES,73000000,29725663.0,Warner Bros.,"118.0,"
Scream 3,R,Horror,2000,"February 4, 2000 (United States)",5.6,126000,WES CRAVEN,Kevin Williamson,David Arquette,UNITED STATES,40000000,161834276.0,Dimension Films,"116.0,"
Best in Show,PG-13,Comedy,2000,"October 20, 2000 (United States)",7.5,58000,CHRISTOPHER GUEST,Christopher Guest,Fred Willard,UNITED STATES,10000000,20789556.0,Castle Rock Entertainment,"90.0,"
The Whole Nine Yards,R,Comedy,2000,"February 18, 2000 (United States)",6.7,114000,JONATHAN LYNN,Mitchell Kapner,Bruce Willis,UNITED STATES,41300000,106371651.0,Franchise Pictures,"98.0,"
Chocolat,PG-13,Drama,2000,"January 19, 2001 (United States)",7.2,181000,LASSE HALLSTRÖM,Joanne Harris,Juliette Binoche,UNITED KINGDOM,25000000,152699976.0,Miramax,"121.0,"
Billy Elliot,R,Drama,2000,"November 10, 2000 (United States)",7.7,129000,STEPHEN DALDRY,Lee Hall,Jamie Bell,UNITED KINGDOM,5000000,109283018.0,StudioCanal,"110.0,"
Amores Perros,R,Drama,2000,"April 13, 2001 (United States)",8.1,228000,ALEJANDRO G. IÑÁRRITU,Guillermo Arriaga,Emilio Echevarría,MEXICO,2000000,20908467.0,Altavista Films,"154.0,"
"Me, Myself & Irene",R,Comedy,2000,"June 23, 2000 (United States)",6.6,226000,BOBBY FARRELLY,Peter Farrelly,Jim Carrey,UNITED STATES,51000000,149270999.0,Twentieth Century Fox,"116.0,"
U-571,PG-13,Action,2000,"April 21, 2000 (United States)",6.6,79000,JONATHAN MOSTOW,Jonathan Mostow,Matthew McConaughey,FRANCE,62000000,127666415.0,Universal Pictures,"116.0,"
Bedazzled,PG-13,Comedy,2000,"October 20, 2000 (United States)",6.0,99000,HAROLD RAMIS,Peter Cook,Brendan Fraser,UNITED STATES,48000000,90383208.0,Twentieth Century Fox,"93.0,"
The Road to El Dorado,PG,Animation,2000,"March 31, 2000 (United States)",6.9,88000,BIBO BERGERON,Terry Rossio,Kevin Kline,UNITED STATES,95000000,76432727.0,DreamWorks Animation,"89.0,"
Scarlet Diva,R,Drama,2000,"May 26, 2000 (Italy)",5.0,2400,ASIA ARGENTO,Asia Argento,Asia Argento,ITALY,0,18062.0,Opera Film (II),"90.0,"
Dinosaur,PG,Animation,2000,"May 19, 2000 (United States)",6.5,56000,ERIC LEIGHTON,Thom Enriquez,D.B. Sweeney,UNITED STATES,127500000,349822765.0,Walt Disney Pictures,"82.0,"
How the Grinch Stole Christmas,PG,Comedy,2000,"November 17, 2000 (United States)",6.2,219000,RON HOWARD,Dr. Seuss,Jim Carrey,UNITED STATES,123000000,363597184.0,Universal Pictures,"104.0,"
Dancer in the Dark,R,Crime,2000,"October 6, 2000 (United States)",8.0,105000,LARS VON TRIER,Lars von Trier,Björk,DENMARK,12800000,40059672.0,Zentropa Entertainments,"140.0,"
What Women Want,PG-13,Comedy,2000,"December 15, 2000 (United States)",6.4,197000,NANCY MEYERS,Josh Goldsmith,Mel Gibson,UNITED STATES,70000000,374111707.0,Paramount Pictures,"127.0,"
The Gift,R,Drama,2000,"January 19, 2001 (United States)",6.7,65000,SAM RAIMI,Billy Bob Thornton,Cate Blanchett,UNITED STATES,10000000,44567606.0,Lakeshore Entertainment,"111.0,"
The Family Man,PG-13,Comedy,2000,"December 22, 2000 (United States)",6.8,105000,BRETT RATNER,David Diamond,Nicolas Cage,UNITED STATES,60000000,124745083.0,Universal Pictures,"125.0,"
Mission to Mars,PG,Adventure,2000,"March 10, 2000 (United States)",5.7,71000,BRIAN DE PALMA,Lowell Cannon,Tim Robbins,UNITED STATES,100000000,110983407.0,Touchstone Pictures,"114.0,"
The Replacements,PG-13,Comedy,2000,"August 11, 2000 (United States)",6.6,60000,HOWARD DEUTCH,Vince McKewin,Keanu Reeves,UNITED STATES,50000000,50054511.0,Bel Air Entertainment,"118.0,"
Next Friday,R,Comedy,2000,"January 12, 2000 (United States)",6.2,38000,STEVE CARR,Ice Cube,Ice Cube,UNITED STATES,11000000,59827328.0,New Line Cinema,"98.0,"
Under Suspicion,R,Crime,2000,"November 15, 2000 (France)",6.5,23000,STEPHEN HOPKINS,John Wainwright,Morgan Freeman,FRANCE,25000000,1308242.0,Revelations Entertainment,"110.0,"
Little Nicky,PG-13,Comedy,2000,"November 10, 2000 (United States)",5.3,101000,STEVEN BRILL,Tim Herlihy,Adam Sandler,UNITED STATES,85000000,58292295.0,Avery Pix,"90.0,"
Boiler Room,R,Crime,2000,"February 18, 2000 (United States)",7.0,51000,BEN YOUNGER,Ben Younger,Giovanni Ribisi,UNITED STATES,7000000,28780255.0,New Line Cinema,"120.0,"
Where the Heart Is,PG-13,Comedy,2000,"April 28, 2000 (United States)",6.7,32000,MATT WILLIAMS,Lowell Ganz,Natalie Portman,UNITED STATES,15000000,40863718.0,Twentieth Century Fox,"120.0,"
Frequency,PG-13,Crime,2000,"April 28, 2000 (United States)",7.3,103000,GREGORY HOBLIT,Toby Emmerich,Dennis Quaid,UNITED STATES,31000000,68106245.0,New Line Cinema,"118.0,"
Men of Honor,R,Biography,2000,"November 10, 2000 (United States)",7.2,110000,GEORGE TILLMAN JR.,Scott Marshall Smith,Cuba Gooding Jr.,UNITED STATES,32000000,82343495.0,Fox 2000 Pictures,"129.0,"
28 Days,PG-13,Comedy,2000,"April 14, 2000 (United States)",6.1,46000,BETTY THOMAS,Susannah Grant,Sandra Bullock,UNITED STATES,43000000,62198945.0,Columbia Pictures,"103.0,"
Love & Basketball,PG-13,Drama,2000,"April 21, 2000 (United States)",7.2,20000,GINA PRINCE-BYTHEWOOD,Gina Prince-Bythewood,Sanaa Lathan,UNITED STATES,20000000,27728118.0,40 Acres & A Mule Filmworks,"124.0,"
Shanghai Noon,PG-13,Action,2000,"May 26, 2000 (United States)",6.6,122000,TOM DEY,Miles Millar,Jackie Chan,UNITED STATES,55000000,99274467.0,Touchstone Pictures,"110.0,"
The Little Vampire,PG,Adventure,2000,"October 27, 2000 (United States)",5.8,9800,ULI EDEL,Angela Sommer-Bodenburg,Jonathan Lipnicki,GERMANY,35000000,27965865.0,Avrora Media,"95.0,"
Quills,R,Biography,2000,"January 19, 2001 (United Kingdom)",7.3,52000,PHILIP KAUFMAN,Doug Wright,Geoffrey Rush,UNITED KINGDOM,13500000,17989227.0,Fox Searchlight Pictures,"124.0,"
Pay It Forward,PG-13,Drama,2000,"October 20, 2000 (United States)",7.2,114000,MIMI LEDER,Catherine Ryan Hyde,Kevin Spacey,UNITED STATES,40000000,55707411.0,Warner Bros.,"123.0,"
Vertical Limit,PG-13,Action,2000,"December 8, 2000 (United States)",5.9,60000,MARTIN CAMPBELL,Robert King,Scott Glenn,UNITED STATES,75000000,215663859.0,Columbia Pictures,"124.0,"
The Flintstones in Viva Rock Vegas,PG,Comedy,2000,"April 28, 2000 (United States)",3.7,22000,BRIAN LEVANT,William Hanna,Mark Addy,UNITED STATES,83000000,59468275.0,Universal Pictures,"90.0,"
Baise-moi,Not Rated,Crime,2000,"June 28, 2000 (France)",4.5,17000,VIRGINIE DESPENTES,Virginie Despentes,Raffaëla Anderson,FRANCE,0,940944.0,Canal+,"77.0,"
Reindeer Games,R,Action,2000,"February 25, 2000 (United States)",5.8,38000,JOHN FRANKENHEIMER,Ehren Kruger,Ben Affleck,UNITED STATES,42000000,32168970.0,Dimension Films,"104.0,"
Dracula 2000,R,Action,2000,"December 22, 2000 (United States)",4.9,33000,PATRICK LUSSIER,Joel Soisson,Gerard Butler,UNITED STATES,54000000,47053625.0,Dimension Films,"99.0,"
102 Dalmatians,G,Adventure,2000,"November 22, 2000 (United States)",4.9,36000,KEVIN LIMA,Dodie Smith,Glenn Close,UNITED STATES,85000000,183611771.0,Cruella Productions,"100.0,"
Red Planet,PG-13,Action,2000,"November 10, 2000 (United States)",5.7,56000,ANTONY HOFFMAN,Chuck Pfarrer,Val Kilmer,UNITED STATES,80000000,33463969.0,Warner Bros.,"106.0,"
Dungeons & Dragons,PG-13,Action,2000,"December 8, 2000 (United States)",3.7,32000,COURTNEY SOLOMON,Topper Lilien,Justin Whalin,UNITED STATES,45000000,33978694.0,New Line Cinema,"107.0,"
Get Carter,R,Action,2000,"October 6, 2000 (United States)",5.2,33000,STEPHEN KAY,Ted Lewis,Sylvester Stallone,UNITED STATES,63600000,19412993.0,Morgan Creek Entertainment,"102.0,"
Wonder Boys,R,Comedy,2000,"February 25, 2000 (United States)",7.3,62000,CURTIS HANSON,Michael Chabon,Michael Douglas,UNITED STATES,55000000,33426588.0,Mutual Film Company,"107.0,"
Shaft,R,Action,2000,"June 16, 2000 (United States)",6.0,75000,JOHN SINGLETON,Ernest Tidyman,Samuel L. Jackson,GERMANY,46000000,107626125.0,Paramount Pictures,"99.0,"
Finding Forrester,PG-13,Drama,2000,"January 12, 2001 (United States)",7.3,84000,GUS VAN SANT,Mike Rich,Sean Connery,UNITED STATES,43000000,80049764.0,Columbia Pictures,"136.0,"
The Legend of Bagger Vance,PG-13,Drama,2000,"November 3, 2000 (United States)",6.7,54000,ROBERT REDFORD,Steven Pressfield,Will Smith,UNITED STATES,80000000,39459427.0,Twentieth Century Fox,"126.0,"
Titan A.E.,PG,Animation,2000,"June 16, 2000 (United States)",6.6,59000,DON BLUTH,Hans Bauer,Matt Damon,UNITED STATES,75000000,36754634.0,David Kirschner Productions,"94.0,"
Snow Day,PG,Adventure,2000,"February 11, 2000 (United States)",5.1,12000,CHRIS KOCH,Will McRobb,Chevy Chase,UNITED STATES,13000000,62464731.0,MFF Feature Film Productions,"89.0,"
The Watcher,R,Crime,2000,"September 8, 2000 (United States)",5.3,26000,JOE CHARBANIC,Darcy Meyers,James Spader,UNITED STATES,30000000,47267829.0,Lewitt / Eberts Productions,"97.0,"
The Skulls,PG-13,Action,2000,"March 31, 2000 (United States)",5.6,31000,ROB COHEN,John Pogue,Joshua Jackson,UNITED STATES,35000000,50802120.0,Universal Pictures,"106.0,"
Romeo Must Die,R,Action,2000,"March 22, 2000 (United States)",6.1,68000,ANDRZEJ BARTKOWIAK,Mitchell Kapner,Jet Li,UNITED STATES,25000000,91036760.0,Warner Bros.,"115.0,"
Big Momma's House,PG-13,Action,2000,"June 2, 2000 (United States)",5.2,82000,RAJA GOSNELL,Darryl Quarles,Martin Lawrence,GERMANY,30000000,173959438.0,Twentieth Century Fox,"99.0,"
Drowning Mona,PG-13,Comedy,2000,"March 3, 2000 (United States)",5.7,14000,NICK GOMEZ,Peter Steinfeld,Danny DeVito,UNITED STATES,37000000,15910104.0,Code Entertainment,"96.0,"
Chopper,R,Biography,2000,"August 3, 2000 (Australia)",7.2,37000,ANDREW DOMINIK,Mark Brandon Read,Eric Bana,AUSTRALIA,0,238471.0,Australian Film Finance Corporation (AFFC),"94.0,"
Keeping the Faith,PG-13,Comedy,2000,"April 14, 2000 (United States)",6.4,50000,EDWARD NORTON,Stuart Blumberg,Ben Stiller,UNITED STATES,29000000,59945183.0,Spyglass Entertainment,"128.0,"
Center Stage,PG-13,Drama,2000,"May 12, 2000 (United States)",6.7,19000,NICHOLAS HYTNER,Carol Heikkinen,Amanda Schull,UNITED STATES,29000000,26385941.0,Columbia Pictures,"115.0,"
Dancing at the Blue Iguana,R,Drama,2000,"October 11, 2001 (Israel)",5.7,3700,MICHAEL RADFORD,Michael Radford,Charlotte Ayanna,UNITED STATES,0,122121.0,Moonstone Entertainment,"123.0,"
Book of Shadows: Blair Witch 2,R,Adventure,2000,"October 27, 2000 (United States)",4.0,36000,JOE BERLINGER,Daniel Myrick,Jeffrey Donovan,UNITED STATES,15000000,47737094.0,Artisan Entertainment,"90.0,"
Rules of Engagement,R,Drama,2000,"April 7, 2000 (United States)",6.4,45000,WILLIAM FRIEDKIN,Jim Webb,Tommy Lee Jones,UNITED KINGDOM,60000000,71732303.0,Seven Arts Pictures,"128.0,"
Thirteen Days,PG-13,Drama,2000,"January 12, 2001 (United States)",7.3,55000,ROGER DONALDSON,David Self,Kevin Costner,UNITED STATES,80000000,66579890.0,New Line Cinema,"145.0,"
You Can Count on Me,R,Drama,2000,"December 22, 2000 (United States)",7.5,29000,KENNETH LONERGAN,Kenneth Lonergan,Laura Linney,UNITED STATES,1200000,11242521.0,Hart Sharp Entertainment,"111.0,"
The Kid,PG,Comedy,2000,"July 7, 2000 (United States)",6.1,41000,JON TURTELTAUB,Audrey Wells,Bruce Willis,UNITED STATES,65000000,110317580.0,Chester Films Inc.,"104.0,"
All the Pretty Horses,PG-13,Drama,2000,"December 25, 2000 (United States)",5.8,13000,BILLY BOB THORNTON,Cormac McCarthy,Matt Damon,UNITED STATES,57000000,18133495.0,Columbia Pictures,"116.0,"
Hanging Up,PG-13,Comedy,2000,"February 18, 2000 (United States)",4.9,12000,DIANE KEATON,Delia Ephron,Diane Keaton,GERMANY,60000000,51880044.0,Columbia Pictures,"94.0,"
Yi Yi,Not Rated,Drama,2000,"December 16, 2000 (Japan)",8.2,22000,EDWARD YANG,Edward Yang,Nien-Jen Wu,TAIWAN,0,1196218.0,1+2 Seisaku Iinkai,"173.0,"
The Dish,PG-13,Comedy,2000,"May 4, 2001 (United States)",7.2,16000,ROB SITCH,Santo Cilauro,Sam Neill,AUSTRALIA,0,16575074.0,Working Dog,"101.0,"
Supernova,PG-13,Horror,2000,"January 14, 2000 (United States)",4.9,17000,WALTER HILL,William Malone,James Spader,UNITED STATES,90000000,14828081.0,Hammerhead Productions,"90.0,"
Loser,PG-13,Comedy,2000,"July 21, 2000 (United States)",5.3,27000,AMY HECKERLING,Amy Heckerling,Jason Biggs,UNITED STATES,20000000,18404706.0,Branti Film Productions,"98.0,"
Down to You,PG-13,Comedy,2000,"January 21, 2000 (United States)",5.0,15000,KRIS ISACSSON,Kris Isacsson,Freddie Prinze Jr.,UNITED STATES,11000000,24419914.0,Open City Films,"91.0,"
The Way of the Gun,R,Action,2000,"September 8, 2000 (United States)",6.7,32000,CHRISTOPHER MCQUARRIE,Christopher McQuarrie,Ryan Phillippe,UNITED STATES,8500000,13200972.0,Artisan Entertainment,"119.0,"
The Adventures of Rocky & Bullwinkle,PG,Animation,2000,"June 30, 2000 (United States)",4.2,20000,DES MCANUFF,Jay Ward,Robert De Niro,UNITED STATES,76000000,35134820.0,Capella International,"92.0,"
Cecil B. Demented,R,Comedy,2000,"September 1, 2000 (United States)",6.2,14000,JOHN WATERS,John Waters,Melanie Griffith,UNITED STATES,10000000,1961544.0,Artic Productions LLC,"87.0,"
Nutty Professor II: the Klumps,PG-13,Comedy,2000,"July 28, 2000 (United States)",4.4,49000,PETER SEGAL,Jerry Lewis,Eddie Murphy,UNITED STATES,84000000,166339890.0,Universal Pictures,"106.0,"
The Crimson Rivers,R,Crime,2000,"July 13, 2001 (United States)",6.9,59000,MATHIEU KASSOVITZ,Jean-Christophe Grangé,Jean Reno,FRANCE,14000000,60103680.0,Légende Films,"106.0,"
Proof of Life,R,Action,2000,"December 8, 2000 (United States)",6.3,56000,TAYLOR HACKFORD,Tony Gilroy,Meg Ryan,UNITED STATES,65000000,62761005.0,Castle Rock Entertainment,"135.0,"
Bamboozled,R,Comedy,2000,"October 20, 2000 (United States)",6.6,11000,SPIKE LEE,Spike Lee,Damon Wayans,UNITED STATES,10000000,2463650.0,New Line Cinema,"135.0,"
Shadow of the Vampire,R,Drama,2000,"January 26, 2001 (United States)",6.9,40000,E. ELIAS MERHIGE,Steven Katz,John Malkovich,UNITED KINGDOM,8000000,11155214.0,Saturn Films,"92.0,"
Thomas and the Magic Railroad,G,Adventure,2000,"July 26, 2000 (United States)",4.2,3900,BRITT ALLCROFT,Britt Allcroft,Alec Baldwin,UNITED KINGDOM,19000000,19748009.0,Gullane Pictures,"85.0,"
Tigerland,R,Drama,2000,"May 24, 2001 (Germany)",7.0,39000,JOEL SCHUMACHER,Ross Klavan,Colin Farrell,UNITED STATES,10000000,148701.0,Haft Entertainment,"101.0,"
Return to Me,PG,Comedy,2000,"April 7, 2000 (United States)",6.9,20000,BONNIE HUNT,Bonnie Hunt,David Duchovny,UNITED STATES,24000000,36609995.0,Metro-Goldwyn-Mayer (MGM),"115.0,"
Boys and Girls,PG-13,Comedy,2000,"June 16, 2000 (United States)",5.4,16000,ROBERT ISCOVE,Andrew Lowery,Freddie Prinze Jr.,UNITED STATES,35000000,25850615.0,Punch 21 Productions,"94.0,"
Whatever It Takes,PG-13,Comedy,2000,"March 24, 2000 (United States)",5.5,10000,DAVID RAYNR,Mark Schwahn,Shane West,UNITED STATES,32000000,9902115.0,Columbia Pictures,"94.0,"
Chuck & Buck,R,Comedy,2000,"August 4, 2000 (United States)",6.6,5300,MIGUEL ARTETA,Mike White,Mike White,UNITED STATES,250000,1182065.0,Artisan Entertainment,"96.0,"
Autumn in New York,PG-13,Drama,2000,"August 11, 2000 (United States)",5.6,25000,JOAN CHEN,Allison Burnett,Richard Gere,UNITED STATES,65000000,90726668.0,Metro-Goldwyn-Mayer (MGM),"103.0,"
Pollock,R,Biography,2000,"March 23, 2001 (United States)",7.0,27000,ED HARRIS,Steven Naifeh,Ed Harris,UNITED STATES,6000000,10994533.0,Brant-Allen,"122.0,"
The Art of War,R,Action,2000,"August 25, 2000 (United States)",5.7,29000,CHRISTIAN DUGUAY,Wayne Beach,Wesley Snipes,UNITED STATES,60000000,40400425.0,Morgan Creek Entertainment,"117.0,"
Before Night Falls,R,Biography,2000,"February 23, 2001 (United States)",7.2,24000,JULIAN SCHNABEL,Cunningham O'Keefe,Javier Bardem,UNITED STATES,0,8601053.0,El Mar Pictures,"133.0,"
Left Behind: The Movie,PG-13,Action,2000,"February 2, 2001 (United States)",4.5,9200,VIC SARIN,Alan B. McElroy,Kirk Cameron,CANADA,4000000,4224065.0,Cloud Ten Pictures,"96.0,"
Love & Sex,R,Comedy,2000,"July 14, 2000 (Spain)",6.2,5300,VALERIE BREIMAN,Valerie Breiman,Famke Janssen,UNITED STATES,0,580372.0,Behaviour Worldwide,"82.0,"
Psycho Beach Party,Unrated,Comedy,2000,"September 7, 2001 (United States)",6.2,5700,ROBERT LEE KING,Charles Busch,Lauren Ambrose,AUSTRALIA,1500000,268117.0,New Oz Productions,"95.0,"
Bait,R,Action,2000,"September 15, 2000 (United States)",5.8,11000,ANTOINE FUQUA,Andrew Scheinman,Jamie Foxx,CANADA,51000000,15471969.0,Castle Rock Entertainment,"119.0,"
Saving Grace,R,Comedy,2000,"September 1, 2000 (United States)",6.9,18000,NIGEL COLE,Mark Crowdy,Brenda Blethyn,UNITED KINGDOM,10000000,28741330.0,Portman Entertainment Group,"93.0,"
Hamlet,R,Drama,2000,"June 23, 2000 (United States)",6.0,9200,MICHAEL ALMEREYDA,William Shakespeare,Ethan Hawke,UNITED STATES,2000000,2046433.0,double A Films,"112.0,"
The Isle,Not Rated,Drama,2000,"April 22, 2000 (South Korea)",7.0,13000,KIM KI-DUK,Kim Ki-duk,Jung Suh,SOUTH KOREA,1000000,24963.0,Myung Film Company Ltd.,"90.0,"
Greenfingers,R,Comedy,2000,"September 14, 2001 (United Kingdom)",6.8,5600,JOEL HERSHMAN,Joel Hershman,Clive Owen,UNITED KINGDOM,0,1961054.0,Boneyard Entertainment,"91.0,"
Highlander: Endgame,R,Action,2000,"September 1, 2000 (United States)",4.6,20000,DOUGLAS AARNIOKOSKI,Gregory Widen,Christopher Lambert,UNITED KINGDOM,25000000,15843608.0,Davis-Panzer Productions,"87.0,"
Dr. T & the Women,R,Comedy,2000,"October 13, 2000 (United States)",4.6,18000,ROBERT ALTMAN,Anne Rapp,Richard Gere,UNITED STATES,23000000,22844291.0,Artisan Entertainment,"122.0,"
The Yards,R,Crime,2000,"April 27, 2000 (Singapore)",6.4,20000,JAMES GRAY,James Gray,Mark Wahlberg,UNITED STATES,24000000,924036.0,Miramax,"115.0,"
Urban Legends: Final Cut,R,Horror,2000,"September 22, 2000 (United States)",4.3,16000,JOHN OTTMAN,Silvio Horta,Jennifer Morrison,CANADA,14000000,38574362.0,Phoenix Pictures,"97.0,"
Woman on Top,R,Comedy,2000,"September 22, 2000 (United States)",5.3,10000,FINA TORRES,Vera Blasi,Penélope Cruz,UNITED STATES,8000000,10194274.0,Fox Searchlight Pictures,"92.0,"
Ready to Rumble,PG-13,Comedy,2000,"April 7, 2000 (United States)",5.4,14000,BRIAN ROBBINS,Steven Brill,David Arquette,UNITED STATES,24000000,12452362.0,Bel Air Entertainment,"107.0,"
Vampire Hunter D: Bloodlust,R,Animation,2000,"September 28, 2001 (United States)",7.7,30000,JACK FLETCHER,Hideyuki Kikuchi,Andrew Philpot,JAPAN,0,151086.0,Madhouse,"103.0,"
The Ladies Man,R,Comedy,2000,"October 13, 2000 (United States)",5.2,13000,REGINALD HUDLIN,Tim Meadows,Tim Meadows,UNITED STATES,24000000,13743212.0,Broadway Pictures,"84.0,"
The Contender,R,Drama,2000,"October 13, 2000 (United States)",6.9,23000,ROD LURIE,Rod Lurie,Joan Allen,UNITED STATES,20000000,22428990.0,Cinerenta Medienbeteiligungs KG,"126.0,"
Nine Queens,R,Crime,2000,"August 31, 2000 (Argentina)",7.9,51000,FABIÁN BIELINSKY,Fabián Bielinsky,Ricardo Darín,ARGENTINA,1500000,12413888.0,FX Sound,"114.0,"
The Broken Hearts Club: A Romantic Comedy,R,Comedy,2000,"October 20, 2000 (United States)",7.0,7300,GREG BERLANTI,Greg Berlanti,Timothy Olyphant,UNITED STATES,1000000,2019121.0,Banner Entertainment,"94.0,"
The in Crowd,PG-13,Drama,2000,"July 19, 2000 (United States)",4.7,4400,MARY LAMBERT,Mark Gibson,Lori Heuring,UNITED STATES,24000000,5280035.0,Morgan Creek Entertainment,"105.0,"
Girlfight,R,Drama,2000,"October 6, 2000 (United States)",6.8,9400,KARYN KUSAMA,Karyn Kusama,Michelle Rodriguez,UNITED STATES,1000000,1666028.0,Green/Renzi,"110.0,"
Beautiful Creatures,R,Comedy,2000,"January 19, 2001 (United Kingdom)",5.8,3600,BILL EAGLES,Simon Donald,Rachel Weisz,UNITED KINGDOM,0,313768.0,Arts Council of England,"86.0,"
